key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,m,0,1.0639,,,,,,,,1.0639,0,0,10,10,11,1,1001,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,m,1,0.7842,,,,,,,,0.7842,1,0,11,11,3,1,1001,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,m,1,0.7059,,,,,,,,0.7059,1,0,12,12,6,1,1001,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,m,1,0.6305,,,,,,,,0.6305,1,0,13,13,1,1,1001,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,z,1,1.7502,,,,,,,,1.7502,1,0,14,14,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,z,1,1.3083,,,,,,,,1.3083,1,0,15,15,12,1,1001,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.888020833,-0.313802083,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,19.53,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,11.5832,1,,,,,,,,,,,,,,m,1,11.5832,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,0,0,4,1,MUSCLE,HB,old,m,./images/MUSCLEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.8806,1,,,,,,,,,,,,,,m,1,0.8806,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,1,1,54,1,TRIPOD,C,old,m,./images/TRIPOD.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,1.7128,1,,,,,,,,,,,,,,z,1,1.7128,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,2,2,161,1,BLAPS,LB,old,z,./images/BLAPSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6814,1,,,,,,,,,,,,,,m,1,0.6814,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,3,3,27,1,ATTIC,C,old,m,./images/ATTIC.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6352,1,,,,,,,,,,,,,,m,1,0.6352,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,4,4,81,1,POODLE,C,old,m,./images/POODLE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,1.4182,1,,,,,,,,,,,,,,m,1,1.4182,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,5,5,70,1,URINE,HB,old,m,./images/URINEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6578,1,,,,,,,,,,,,,,m,1,0.6578,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,6,6,9,1,RHINO,C,old,m,./images/RHINO.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.7399,1,,,,,,,,,,,,,,m,1,0.7399,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,7,7,78,1,LITTER,C,old,m,./images/LITTER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,1.0378,0,,,,,,,,,,,,,,m,0,1.0378,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,8,8,128,1,GRIFT,LB,old,z,./images/GRIFTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.5747,1,,,,,,,,,,,,,,m,1,0.5747,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,9,9,83,1,JUNGLE,LB,old,m,./images/JUNGLELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6241,1,,,,,,,,,,,,,,m,1,0.6241,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,10,10,26,1,SMOKER,LB,old,m,./images/SMOKERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6766,1,,,,,,,,,,,,,,m,1,0.6766,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,11,11,17,1,SKIING,LB,old,m,./images/SKIINGLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.5619,1,,,,,,,,,,,,,,m,1,0.5619,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,12,12,36,1,THROAT,C,old,m,./images/THROAT.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.655,1,,,,,,,,,,,,,,m,1,0.655,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,13,13,14,1,PICKLE,LB,old,m,./images/PICKLELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6974,1,,,,,,,,,,,,,,m,1,0.6974,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,14,14,33,1,MAGGOT,C,old,m,./images/MAGGOT.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6049,1,,,,,,,,,,,,,,m,1,0.6049,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,15,15,47,1,BERRY,LB,old,m,./images/BERRYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,1.9547,1,,,,,,,,,,,,,,z,1,1.9547,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,16,16,100,1,DRIBS,HB,old,z,./images/DRIBSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,1.1172,1,,,,,,,,,,,,,,m,1,1.1172,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,17,17,72,1,NOOSE,C,old,m,./images/NOOSE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.9937,1,,,,,,,,,,,,,,z,1,0.9937,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,18,18,122,1,BLOOT,LB,old,z,./images/BLOOTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.8778,1,,,,,,,,,,,,,,z,1,0.8778,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,19,19,138,1,PLICE,C,old,z,./images/PLICE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6689,1,,,,,,,,,,,,,,m,1,0.6689,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,20,20,42,1,FOLDER,C,old,m,./images/FOLDER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.9538,1,,,,,,,,,,,,,,z,1,0.9538,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,21,21,126,1,GUELS,C,old,z,./images/GUELS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.653,1,,,,,,,,,,,,,,m,1,0.653,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,22,22,2,1,BEARD,LB,old,m,./images/BEARDLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.8389,1,,,,,,,,,,,,,,z,1,0.8389,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,23,23,143,1,MONGS,LB,old,z,./images/MONGSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.5754,1,,,,,,,,,,,,,,m,1,0.5754,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,24,24,39,1,SHELF,C,old,m,./images/SHELF.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.7217,1,,,,,,,,,,,,,,z,1,0.7217,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,25,25,150,1,NOOLS,C,old,z,./images/NOOLS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6163,1,,,,,,,,,,,,,,m,1,0.6163,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,26,26,38,1,LADDER,LB,old,m,./images/LADDERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,2.0733,1,,,,,,,,,,,,,,z,1,2.0733,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,27,27,95,1,HANTY,LB,old,z,./images/HANTYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.5906,1,,,,,,,,,,,,,,m,1,0.5906,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,28,28,18,1,JAGUAR,C,old,m,./images/JAGUAR.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.8489,1,,,,,,,,,,,,,,m,1,0.8489,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,29,29,79,1,CRUST,HB,old,m,./images/CRUSTHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,1.6096,1,,,,,,,,,,,,,,z,1,1.6096,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,30,30,137,1,JOOST,LB,old,z,./images/JOOSTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.874,1,,,,,,,,,,,,,,m,1,0.874,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,31,31,46,1,PEARL,HB,old,m,./images/PEARLHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,1.3084,1,,,,,,,,,,,,,,z,1,1.3084,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,32,32,92,1,PAIMS,LB,old,z,./images/PAIMSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5c8ec999bb6a3c00014acf5f,53,2022-02-12_14h57.06.875,lexical_decision_task_DD,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.8638,1,,,,,,,,,,,,,,m,1,0.8638,,,,,,,,0.888020833,-0.313802083,0,0,0,,0,33,33,10,1,BELLY,HB,old,m,./images/BELLYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
