key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,key_resp.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,key_resp_3.rt
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,m,1,0.8499,,,,,,,,0.8499,1,0,6,6,6,1,1001,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,z,1,0.7661,,,,,,,,0.7661,1,0,7,7,9,1,1001,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,z,1,1.066,,,,,,,,1.066,1,0,8,8,8,1,1001,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,m,1,0.9045,,,,,,,,0.9045,1,0,9,9,5,1,1001,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,m,1,0.7524,,,,,,,,0.7524,1,0,10,10,2,1,1001,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,z,1,0.821,,,,,,,,0.821,1,0,11,11,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,m,1,0.6608,,,,,,,,0.6608,1,0,12,12,7,1,1001,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,z,1,0.7663,,,,,,,,0.7663,1,0,13,13,12,1,1001,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,m,1,0.6569,,,,,,,,0.6569,1,0,14,14,0,1,1001,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,z,1,0.9528,,,,,,,,0.9528,1,0,15,15,13,1,1001,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,-0.067708333,-0.385416667,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,,,,,,,,,,,21.7486,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.941,1,,,,,,,,,,,,,,,m,1,0.941,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,0,0,58,1,CANOE,LB,old,m,./images/CANOELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.7411,1,,,,,,,,,,,,,,,m,1,0.7411,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,1,1,26,1,CLOUD,C,old,m,./images/CLOUD.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,1.4943,1,,,,,,,,,,,,,,,m,1,1.4943,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,2,2,75,1,HAMMER,HB,old,m,./images/HAMMERHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.9704,1,,,,,,,,,,,,,,,z,1,0.9704,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,3,3,114,1,RIKES,C,old,z,./images/RIKES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,1.2442,1,,,,,,,,,,,,,,,m,1,1.2442,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,4,4,63,1,BAKER,HB,old,m,./images/BAKERHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,1.3613,1,,,,,,,,,,,,,,,z,1,1.3613,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,5,5,94,1,BLANS,HB,old,z,./images/BLANSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.7509,1,,,,,,,,,,,,,,,m,1,0.7509,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,6,6,15,1,COLLAR,HB,old,m,./images/COLLARHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.7776,1,,,,,,,,,,,,,,,m,1,0.7776,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,7,7,10,1,GARDEN,LB,old,m,./images/GARDENLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.7357,1,,,,,,,,,,,,,,,m,1,0.7357,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,8,8,68,1,VALLEY,C,old,m,./images/VALLEY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.8786,1,,,,,,,,,,,,,,,z,1,0.8786,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,9,9,111,1,HOSSE,C,old,z,./images/HOSSE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.9645,1,,,,,,,,,,,,,,,m,1,0.9645,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,10,10,81,1,DRILL,HB,old,m,./images/DRILLHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,1.036,1,,,,,,,,,,,,,,,z,1,1.036,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,11,11,113,1,LINEW,LB,old,z,./images/LINEWLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,1.2405,1,,,,,,,,,,,,,,,z,1,1.2405,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,12,12,118,1,BAVEL,HB,old,z,./images/BAVELHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,1.3466,1,,,,,,,,,,,,,,,z,1,1.3466,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,13,13,139,1,BLEAR,HB,old,z,./images/BLEARHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.7664,1,,,,,,,,,,,,,,,m,1,0.7664,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,14,14,28,1,CASINO,LB,old,m,./images/CASINOLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.9511,1,,,,,,,,,,,,,,,m,1,0.9511,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,15,15,30,1,SLOPE,HB,old,m,./images/SLOPEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.8134,1,,,,,,,,,,,,,,,m,1,0.8134,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,16,16,74,1,JUMPER,C,old,m,./images/JUMPER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.8294,1,,,,,,,,,,,,,,,z,1,0.8294,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,17,17,105,1,MOKER,C,old,z,./images/MOKER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.7029,1,,,,,,,,,,,,,,,m,1,0.7029,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,18,18,44,1,BASKET,C,old,m,./images/BASKET.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.8957,1,,,,,,,,,,,,,,,z,1,0.8957,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,19,19,84,1,HAXES,C,old,z,./images/HAXES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.6453,1,,,,,,,,,,,,,,,m,1,0.6453,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,20,20,2,1,STOVE,C,old,m,./images/STOVE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.8102,1,,,,,,,,,,,,,,,z,1,0.8102,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,21,21,132,1,SCIFF,C,old,z,./images/SCIFF.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.6864,1,,,,,,,,,,,,,,,m,1,0.6864,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,22,22,35,1,LLAMA,C,old,m,./images/LLAMA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.8858,1,,,,,,,,,,,,,,,m,1,0.8858,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,23,23,66,1,STATUE,HB,old,m,./images/STATUEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.9108,1,,,,,,,,,,,,,,,m,1,0.9108,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,24,24,18,1,PARCEL,HB,old,m,./images/PARCELHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,1.2552,1,,,,,,,,,,,,,,,z,1,1.2552,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,25,25,112,1,MYING,HB,old,z,./images/MYINGHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,1.3128,1,,,,,,,,,,,,,,,z,1,1.3128,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,26,26,127,1,NINDY,HB,old,z,./images/NINDYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.7608,1,,,,,,,,,,,,,,,m,1,0.7608,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,27,27,17,1,PARADE,C,old,m,./images/PARADE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.8141,1,,,,,,,,,,,,,,,z,1,0.8141,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,28,28,120,1,RINED,C,old,z,./images/RINED.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,1.1787,1,,,,,,,,,,,,,,,z,1,1.1787,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,29,29,85,1,CHULK,HB,old,z,./images/CHULKHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.6581,1,,,,,,,,,,,,,,,m,1,0.6581,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,30,30,8,1,CLIFF,C,old,m,./images/CLIFF.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ecba072cfc4af3b5f9a7e6,59,2022-02-12_13h30.08.532,lexical_decision_task_DD_L5,2021.2.3,Win32,60.51803437,,,,,,,,,,,0.5953,1,,,,,,,,,,,,,,,m,1,0.5953,,,,,,,,-0.067708333,-0.385416667,0,0,0,,0,31,31,5,1,BAMBOO,C,old,m,./images/BAMBOO.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
