key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,response.rt,key_resp.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,m,1,,,,,,,,0.5657,1,0,15,15,2,1,1001,ALMOND,m,0.5657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.306481499,-0.319444457,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,28.4922,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,1.0295,1,,,,,,,,,,,,,,,,m,1,1.0295,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,0,0,53,1,POSTER,HB,m,m,./images/POSTERHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6119,1,,,,,,,,,,,,,,,,m,1,0.6119,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,1,1,36,1,BOILER,LB,m,m,./images/BOILERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.5752,1,,,,,,,,,,,,,,,,m,1,0.5752,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,2,2,73,1,GLOVE,C,m,m,./images/GLOVE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,1.0861,1,,,,,,,,,,,,,,,,z,1,1.0861,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,3,3,154,1,THINT,HB,z,z,./images/THINTHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.7343,0,,,,,,,,,,,,,,,,m,0,0.7343,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,4,4,142,1,PLASK,HB,z,z,./images/PLASKHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.9551,1,,,,,,,,,,,,,,,,z,1,0.9551,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,5,5,115,1,MAWNS,HB,z,z,./images/MAWNSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.8899,0,,,,,,,,,,,,,,,,m,0,0.8899,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,6,6,100,1,DRIBS,HB,z,z,./images/DRIBSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.9664,1,,,,,,,,,,,,,,,,z,1,0.9664,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,7,7,118,1,BAVEL,HB,z,z,./images/BAVELHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.5145,1,,,,,,,,,,,,,,,,m,1,0.5145,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,8,8,37,1,TIGER,C,m,m,./images/TIGER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.5776,1,,,,,,,,,,,,,,,,m,1,0.5776,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,9,9,28,1,CASINO,C,m,m,./images/CASINO.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.8007,1,,,,,,,,,,,,,,,,z,1,0.8007,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,10,10,124,1,TUNCH,HB,z,z,./images/TUNCHHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.7488,1,,,,,,,,,,,,,,,,z,1,0.7488,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,11,11,107,1,FASKS,LB,z,z,./images/FASKSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6992,1,,,,,,,,,,,,,,,,z,1,0.6992,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,12,12,92,1,PAIMS,LB,z,z,./images/PAIMSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.5087,1,,,,,,,,,,,,,,,,m,1,0.5087,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,13,13,4,1,BOXER,C,m,m,./images/BOXER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6562,1,,,,,,,,,,,,,,,,m,1,0.6562,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,14,14,45,1,MONKEY,LB,m,m,./images/MONKEYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6054,1,,,,,,,,,,,,,,,,z,1,0.6054,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,15,15,108,1,GRUET,C,z,z,./images/GRUET.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.847,0,,,,,,,,,,,,,,,,z,0,0.847,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,16,16,38,1,ENGINE,HB,m,m,./images/ENGINEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.4726,1,,,,,,,,,,,,,,,,m,1,0.4726,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,17,17,13,1,BUNNY,C,m,m,./images/BUNNY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.5763,1,,,,,,,,,,,,,,,,m,1,0.5763,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,18,18,30,1,SLOPE,LB,m,m,./images/SLOPELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.5487,1,,,,,,,,,,,,,,,,m,1,0.5487,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,19,19,27,1,BUTTER,LB,m,m,./images/BUTTERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6871,1,,,,,,,,,,,,,,,,z,1,0.6871,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,20,20,109,1,BURGE,HB,z,z,./images/BURGEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.5576,1,,,,,,,,,,,,,,,,m,1,0.5576,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,21,21,75,1,HAMMER,LB,m,m,./images/HAMMERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6505,1,,,,,,,,,,,,,,,,z,1,0.6505,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,22,22,157,1,INLER,HB,z,z,./images/INLERHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6918,1,,,,,,,,,,,,,,,,z,1,0.6918,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,23,23,90,1,NEAST,C,z,z,./images/NEAST.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6866,1,,,,,,,,,,,,,,,,m,1,0.6866,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,24,24,19,1,DONKEY,C,m,m,./images/DONKEY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.5886,1,,,,,,,,,,,,,,,,m,1,0.5886,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,25,25,55,1,ALLEY,C,m,m,./images/ALLEY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.5804,1,,,,,,,,,,,,,,,,m,1,0.5804,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,26,26,69,1,ARROW,LB,m,m,./images/ARROWLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6319,1,,,,,,,,,,,,,,,,z,1,0.6319,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,27,27,93,1,SMONE,C,z,z,./images/SMONE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6351,1,,,,,,,,,,,,,,,,z,1,0.6351,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,28,28,141,1,PLEET,C,z,z,./images/PLEET.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6664,1,,,,,,,,,,,,,,,,m,1,0.6664,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,29,29,42,1,CHAIN,LB,m,m,./images/CHAINLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6001,1,,,,,,,,,,,,,,,,m,1,0.6001,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,30,30,10,1,GARDEN,C,m,m,./images/GARDEN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.798,1,,,,,,,,,,,,,,,,m,1,0.798,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,31,31,14,1,FENCE,HB,m,m,./images/FENCEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.7278,1,,,,,,,,,,,,,,,,z,1,0.7278,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,32,32,119,1,PAFER,LB,z,z,./images/PAFERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5d946449f5241f0018fe2af2,42,2022-02-12_18h02.39.321,lexical_decision_task_DD_L6,2021.2.3,Win32,59.17159763,,,,,,,,,,0.6322,1,,,,,,,,,,,,,,,,z,1,0.6322,,,,,,,,0.306481499,-0.319444457,0,0,0,,0,33,33,132,1,SCIFF,C,z,z,./images/SCIFF.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
