key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,instr_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,z,1,0.7348,,,,,,,,0.7348,1,0,6,6,9,1,1001,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,m,1,0.5082,,,,,,,,0.5082,1,0,7,7,4,1,1001,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,m,1,0.5012,,,,,,,,0.5012,1,0,8,8,6,1,1001,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,m,0,0.7075,,,,,,,,0.7075,0,0,9,9,13,1,1001,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,m,0,0.8913,,,,,,,,0.8913,0,0,10,10,12,1,1001,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,m,1,0.6063,,,,,,,,0.6063,1,0,11,11,1,1,1001,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,m,0,0.8009,,,,,,,,0.8009,0,0,12,12,11,1,1001,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,m,1,0.7762,,,,,,,,0.7762,1,0,13,13,5,1,1001,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,m,1,0.6441,,,,,,,,0.6441,1,0,14,14,2,1,1001,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,z,1,0.7528,,,,,,,,0.7528,1,0,15,15,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,34.3105,0.412037076,0.18888888,0,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,7.9921,1,,,,,,,,,,,,,,z,1,7.9921,,,,,,,,0.412037076,0.18888888,0,0,0,,0,0,0,166,1,SHORY,HB,z,z,./images/SHORYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,1.3442,1,,,,,,,,,,,,,,m,1,1.3442,,,,,,,,0.412037076,0.18888888,0,0,0,,0,1,1,39,1,CANDY,LB,m,m,./images/CANDYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,1.3584,1,,,,,,,,,,,,,,m,1,1.3584,,,,,,,,0.412037076,0.18888888,0,0,0,,0,2,2,67,1,POKER,C,m,m,./images/POKER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.6423,1,,,,,,,,,,,,,,m,1,0.6423,,,,,,,,0.412037076,0.18888888,0,0,0,,0,3,3,46,1,MUMMY,C,m,m,./images/MUMMY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.8598,1,,,,,,,,,,,,,,z,1,0.8598,,,,,,,,0.412037076,0.18888888,0,0,0,,0,4,4,107,1,FASKS,LB,z,z,./images/FASKSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.6224,1,,,,,,,,,,,,,,m,1,0.6224,,,,,,,,0.412037076,0.18888888,0,0,0,,0,5,5,55,1,ALLEY,C,m,m,./images/ALLEY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.7727,1,,,,,,,,,,,,,,m,1,0.7727,,,,,,,,0.412037076,0.18888888,0,0,0,,0,6,6,56,1,HEATER,HB,m,m,./images/HEATERHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,1.0737,1,,,,,,,,,,,,,,m,1,1.0737,,,,,,,,0.412037076,0.18888888,0,0,0,,0,7,7,58,1,CANOE,C,m,m,./images/CANOE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.9654,1,,,,,,,,,,,,,,z,1,0.9654,,,,,,,,0.412037076,0.18888888,0,0,0,,0,8,8,145,1,LAMEL,HB,z,z,./images/LAMELHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.5771,1,,,,,,,,,,,,,,m,1,0.5771,,,,,,,,0.412037076,0.18888888,0,0,0,,0,9,9,9,1,DIVER,LB,m,m,./images/DIVERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.8068,1,,,,,,,,,,,,,,z,1,0.8068,,,,,,,,0.412037076,0.18888888,0,0,0,,0,10,10,120,1,RINED,C,z,z,./images/RINED.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,1.649,1,,,,,,,,,,,,,,z,1,1.649,,,,,,,,0.412037076,0.18888888,0,0,0,,0,11,11,157,1,INLER,HB,z,z,./images/INLERHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.9134,1,,,,,,,,,,,,,,z,1,0.9134,,,,,,,,0.412037076,0.18888888,0,0,0,,0,12,12,153,1,CLUPS,C,z,z,./images/CLUPS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.6612,1,,,,,,,,,,,,,,m,1,0.6612,,,,,,,,0.412037076,0.18888888,0,0,0,,0,13,13,45,1,MONKEY,LB,m,m,./images/MONKEYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,1.3425,0,,,,,,,,,,,,,,m,0,1.3425,,,,,,,,0.412037076,0.18888888,0,0,0,,0,14,14,139,1,BLEAR,HB,z,z,./images/BLEARHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.8736,1,,,,,,,,,,,,,,m,1,0.8736,,,,,,,,0.412037076,0.18888888,0,0,0,,0,15,15,70,1,BANANA,C,m,m,./images/BANANA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,1.8448,1,,,,,,,,,,,,,,z,1,1.8448,,,,,,,,0.412037076,0.18888888,0,0,0,,0,16,16,136,1,WERVE,HB,z,z,./images/WERVEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.7261,1,,,,,,,,,,,,,,m,1,0.7261,,,,,,,,0.412037076,0.18888888,0,0,0,,0,17,17,23,1,CLOTH,HB,m,m,./images/CLOTHHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.6122,1,,,,,,,,,,,,,,m,1,0.6122,,,,,,,,0.412037076,0.18888888,0,0,0,,0,18,18,64,1,BRIDE,C,m,m,./images/BRIDE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.6176,1,,,,,,,,,,,,,,m,1,0.6176,,,,,,,,0.412037076,0.18888888,0,0,0,,0,19,19,51,1,SAUCE,LB,m,m,./images/SAUCELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.9025,1,,,,,,,,,,,,,,z,1,0.9025,,,,,,,,0.412037076,0.18888888,0,0,0,,0,20,20,122,1,BLOOT,LB,z,z,./images/BLOOTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.684,1,,,,,,,,,,,,,,m,1,0.684,,,,,,,,0.412037076,0.18888888,0,0,0,,0,21,21,82,1,PEBBLE,C,m,m,./images/PEBBLE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.7696,1,,,,,,,,,,,,,,m,1,0.7696,,,,,,,,0.412037076,0.18888888,0,0,0,,0,22,22,33,1,SAUNA,LB,m,m,./images/SAUNALB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,1.1053,1,,,,,,,,,,,,,,z,1,1.1053,,,,,,,,0.412037076,0.18888888,0,0,0,,0,23,23,154,1,THINT,HB,z,z,./images/THINTHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,1.5363,1,,,,,,,,,,,,,,z,1,1.5363,,,,,,,,0.412037076,0.18888888,0,0,0,,0,24,24,97,1,CHIDS,HB,z,z,./images/CHIDSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,1.3566,1,,,,,,,,,,,,,,z,1,1.3566,,,,,,,,0.412037076,0.18888888,0,0,0,,0,25,25,144,1,NAIRY,C,z,z,./images/NAIRY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.6725,1,,,,,,,,,,,,,,m,1,0.6725,,,,,,,,0.412037076,0.18888888,0,0,0,,0,26,26,57,1,FERRY,LB,m,m,./images/FERRYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.779,1,,,,,,,,,,,,,,z,1,0.779,,,,,,,,0.412037076,0.18888888,0,0,0,,0,27,27,149,1,VEASE,LB,z,z,./images/VEASELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.8303,1,,,,,,,,,,,,,,z,1,0.8303,,,,,,,,0.412037076,0.18888888,0,0,0,,0,28,28,123,1,SEDGE,C,z,z,./images/SEDGE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.7313,1,,,,,,,,,,,,,,z,1,0.7313,,,,,,,,0.412037076,0.18888888,0,0,0,,0,29,29,161,1,BLAPS,LB,z,z,./images/BLAPSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,1.0928,1,,,,,,,,,,,,,,z,1,1.0928,,,,,,,,0.412037076,0.18888888,0,0,0,,0,30,30,133,1,POWDY,HB,z,z,./images/POWDYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.5781,1,,,,,,,,,,,,,,m,1,0.5781,,,,,,,,0.412037076,0.18888888,0,0,0,,0,31,31,63,1,BAKER,LB,m,m,./images/BAKERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60a5a2e1f7b39a743bfcd43a,22,2022-02-12_17h18.16.717,lexical_decision_task_DD_L6,2021.2.3,Win32,60.78657832,,,,,,,,,,,0.6337,1,,,,,,,,,,,,,,z,1,0.6337,,,,,,,,0.412037076,0.18888888,0,0,0,,0,32,32,96,1,KEAMS,C,z,z,./images/KEAMS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
