key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,m,1,0.5494,,,,,,,,0.5494,1,0,6,6,7,1,1001,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,z,1,0.7344,,,,,,,,0.7344,1,0,7,7,9,1,1001,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,z,1,0.6173,,,,,,,,0.6173,1,0,8,8,13,1,1001,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,m,1,0.6438,,,,,,,,0.6438,1,0,9,9,3,1,1001,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,z,1,2.3247,,,,,,,,2.3247,1,0,10,10,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,m,1,2.9698,,,,,,,,2.9698,1,0,11,11,6,1,1001,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,m,1,3.734,,,,,,,,3.734,1,0,12,12,1,1,1001,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,z,1,2.8077,,,,,,,,2.8077,1,0,13,13,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,m,1,1.1061,,,,,,,,1.1061,1,0,14,14,4,1,1001,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,z,1,2.5854,,,,,,,,2.5854,1,0,15,15,12,1,1001,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.017592606,-0.38703705,1,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,instr_done_button,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.8449,1,,,,,,,,,,,,,,z,1,1.8449,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,0,0,115,1,MAWNS,HB,old,z,./images/MAWNSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.7786,1,,,,,,,,,,,,,,m,1,0.7786,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,1,1,5,1,BAMBOO,LB,old,m,./images/BAMBOOLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.9604,1,,,,,,,,,,,,,,z,1,0.9604,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,2,2,159,1,CUDDY,C,old,z,./images/CUDDY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.275,1,,,,,,,,,,,,,,z,1,1.275,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,3,3,84,1,HAXES,C,old,z,./images/HAXES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.059,1,,,,,,,,,,,,,,z,1,1.059,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,4,4,155,1,CANGY,LB,old,z,./images/CANGYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.2711,1,,,,,,,,,,,,,,z,1,1.2711,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,5,5,147,1,ZOLES,C,old,z,./images/ZOLES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.625,1,,,,,,,,,,,,,,m,1,0.625,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,6,6,62,1,MAMMAL,LB,old,m,./images/MAMMALLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.5893,1,,,,,,,,,,,,,,m,1,0.5893,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,7,7,3,1,CRATER,C,old,m,./images/CRATER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.9388,1,,,,,,,,,,,,,,m,1,0.9388,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,8,8,78,1,BROOM,C,old,m,./images/BROOM.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.6211,1,,,,,,,,,,,,,,m,1,0.6211,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,9,9,56,1,HEATER,LB,old,m,./images/HEATERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,2.2481,0,,,,,,,,,,,,,,m,0,2.2481,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,10,10,133,1,POWDY,HB,old,z,./images/POWDYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.8249,1,,,,,,,,,,,,,,z,1,1.8249,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,11,11,124,1,TUNCH,HB,old,z,./images/TUNCHHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.9351,1,,,,,,,,,,,,,,m,1,0.9351,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,12,12,82,1,PEBBLE,HB,old,m,./images/PEBBLEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.3575,1,,,,,,,,,,,,,,m,1,1.3575,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,13,13,70,1,BANANA,HB,old,m,./images/BANANAHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.5773,1,,,,,,,,,,,,,,m,1,0.5773,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,14,14,75,1,HAMMER,C,old,m,./images/HAMMER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.2761,1,,,,,,,,,,,,,,z,1,1.2761,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,15,15,136,1,WERVE,HB,old,z,./images/WERVEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.0735,1,,,,,,,,,,,,,,m,1,1.0735,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,16,16,25,1,CHALK,HB,old,m,./images/CHALKHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.5905,1,,,,,,,,,,,,,,m,1,0.5905,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,17,17,18,1,PARCEL,C,old,m,./images/PARCEL.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.9494,1,,,,,,,,,,,,,,z,1,0.9494,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,18,18,137,1,JOOST,LB,old,z,./images/JOOSTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.8017,1,,,,,,,,,,,,,,z,1,0.8017,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,19,19,93,1,SMONE,C,old,z,./images/SMONE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.7159,1,,,,,,,,,,,,,,z,1,0.7159,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,20,20,144,1,NAIRY,C,old,z,./images/NAIRY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.6119,1,,,,,,,,,,,,,,m,1,0.6119,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,21,21,68,1,VALLEY,LB,old,m,./images/VALLEYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.8022,1,,,,,,,,,,,,,,m,1,0.8022,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,22,22,22,1,CLOWN,HB,old,m,./images/CLOWNHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.4824,1,,,,,,,,,,,,,,z,1,1.4824,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,23,23,129,1,PRANS,C,old,z,./images/PRANS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.1584,1,,,,,,,,,,,,,,z,1,1.1584,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,24,24,107,1,FASKS,LB,old,z,./images/FASKSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.6235,1,,,,,,,,,,,,,,m,1,0.6235,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,25,25,54,1,CHERRY,C,old,m,./images/CHERRY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.7561,1,,,,,,,,,,,,,,z,1,0.7561,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,26,26,86,1,AIFED,LB,old,z,./images/AIFEDLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.6666,1,,,,,,,,,,,,,,m,1,1.6666,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,27,27,9,1,DIVER,C,old,m,./images/DIVER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,2.2499,1,,,,,,,,,,,,,,z,1,2.2499,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,28,28,125,1,MOOKY,LB,old,z,./images/MOOKYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.1043,1,,,,,,,,,,,,,,m,1,1.1043,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,29,29,39,1,CANDY,C,old,m,./images/CANDY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.6855,1,,,,,,,,,,,,,,m,1,0.6855,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,30,30,66,1,STATUE,C,old,m,./images/STATUE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.7759,1,,,,,,,,,,,,,,m,1,0.7759,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,31,31,51,1,SAUCE,C,old,m,./images/SAUCE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.9576,1,,,,,,,,,,,,,,z,1,0.9576,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,32,32,112,1,MYING,HB,old,z,./images/MYINGHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.841,1,,,,,,,,,,,,,,z,1,0.841,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,33,33,145,1,LAMEL,HB,old,z,./images/LAMELHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.5844,1,,,,,,,,,,,,,,m,1,0.5844,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,34,34,74,1,JUMPER,LB,old,m,./images/JUMPERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,0.6391,1,,,,,,,,,,,,,,z,1,0.6391,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,35,35,134,1,TROSS,LB,old,z,./images/TROSSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.1965,1,,,,,,,,,,,,,,m,1,1.1965,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,36,36,49,1,BISHOP,HB,old,m,./images/BISHOPHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,27,2022-02-12_13h30.03.823,lexical_decision_task_DD_L4,2021.2.3,Win32,120.105693,,,,,,,,,,,,1.0757,1,,,,,,,,,,,,,,m,1,1.0757,,,,,,,,0.017592606,-0.38703705,0,0,0,,0,37,37,13,1,BUNNY,HB,old,m,./images/BUNNYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
