key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,break_done_keyboard.rt,key_resp.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,m,0,0.9236,,,,,,,,0.9236,0,0,6,6,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,m,1,0.6147,,,,,,,,0.6147,1,0,7,7,1,1,1001,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,m,1,0.5025,,,,,,,,0.5025,1,0,8,8,2,1,1001,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,z,1,0.6951,,,,,,,,0.6951,1,0,9,9,15,1,1001,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,z,1,0.8355,,,,,,,,0.8355,1,0,10,10,9,1,1001,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,m,1,1.3496,,,,,,,,1.3496,1,0,11,11,0,1,1001,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,m,1,0.6629,,,,,,,,0.6629,1,0,12,12,3,1,1001,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,m,1,0.4754,,,,,,,,0.4754,1,0,13,13,5,1,1001,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,z,1,0.6547,,,,,,,,0.6547,1,0,14,14,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,z,1,0.9015,,,,,,,,0.9015,1,0,15,15,8,1,1001,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.079765625,-0.381449653,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.4227,1,,,,,,,,,,,,,,z,1,1.4227,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,0,0,156,1,HIXES,C,old,z,./images/HIXES.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.8063,1,,,,,,,,,,,,,,m,1,0.8063,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,1,1,19,1,DONKEY,LB,old,m,./images/DONKEYLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6249,1,,,,,,,,,,,,,,z,1,0.6249,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,2,2,114,1,RIKES,C,old,z,./images/RIKES.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.8855,1,,,,,,,,,,,,,,z,1,0.8855,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,3,3,167,1,ZONET,LB,old,z,./images/ZONETLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6811,1,,,,,,,,,,,,,,z,1,0.6811,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,4,4,117,1,STEEG,C,old,z,./images/STEEG.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6356,1,,,,,,,,,,,,,,z,1,0.6356,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,5,5,147,1,ZOLES,C,old,z,./images/ZOLES.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.503,0,,,,,,,,,,,,,,m,0,0.503,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,6,6,165,1,TROWN,C,old,z,./images/TROWN.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7043,1,,,,,,,,,,,,,,m,1,0.7043,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,7,7,76,1,MIDGET,LB,old,m,./images/MIDGETLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6415,1,,,,,,,,,,,,,,m,1,0.6415,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,8,8,23,1,CLOTH,C,old,m,./images/CLOTH.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.8293,1,,,,,,,,,,,,,,z,1,1.8293,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,9,9,115,1,MAWNS,HB,old,z,./images/MAWNSHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7555,1,,,,,,,,,,,,,,m,1,0.7555,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,10,10,30,1,SLOPE,HB,old,m,./images/SLOPEHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.5637,1,,,,,,,,,,,,,,m,1,0.5637,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,11,11,79,1,RULER,LB,old,m,./images/RULERLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.1377,1,,,,,,,,,,,,,,z,1,1.1377,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,12,12,142,1,PLASK,HB,old,z,./images/PLASKHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6626,1,,,,,,,,,,,,,,m,1,0.6626,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,13,13,69,1,ARROW,HB,old,m,./images/ARROWHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.1384,1,,,,,,,,,,,,,,m,1,1.1384,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,14,14,75,1,HAMMER,HB,old,m,./images/HAMMERHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6303,1,,,,,,,,,,,,,,z,1,0.6303,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,15,15,98,1,BAMPS,LB,old,z,./images/BAMPSLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.5109,1,,,,,,,,,,,,,,m,1,0.5109,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,16,16,38,1,ENGINE,C,old,m,./images/ENGINE.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7233,1,,,,,,,,,,,,,,m,1,0.7233,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,17,17,70,1,BANANA,LB,old,m,./images/BANANALB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.9296,1,,,,,,,,,,,,,,z,1,0.9296,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,18,18,136,1,WERVE,HB,old,z,./images/WERVEHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7685,1,,,,,,,,,,,,,,z,1,0.7685,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,19,19,100,1,DRIBS,HB,old,z,./images/DRIBSHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.1327,1,,,,,,,,,,,,,,m,1,1.1327,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,20,20,63,1,BAKER,HB,old,m,./images/BAKERHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,2.7352,1,,,,,,,,,,,,,,z,1,2.7352,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,21,21,127,1,NINDY,HB,old,z,./images/NINDYHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.684,1,,,,,,,,,,,,,,m,1,0.684,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,22,22,67,1,POKER,LB,old,m,./images/POKERLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6654,1,,,,,,,,,,,,,,z,1,0.6654,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,23,23,89,1,DRIEK,LB,old,z,./images/DRIEKLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6486,1,,,,,,,,,,,,,,m,1,0.6486,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,24,24,1,1,TOWEL,LB,old,m,./images/TOWELLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.69,1,,,,,,,,,,,,,,z,1,0.69,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,25,25,84,1,HAXES,C,old,z,./images/HAXES.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6005,1,,,,,,,,,,,,,,m,1,0.6005,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,26,26,47,1,LAGOON,C,old,m,./images/LAGOON.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.2728,1,,,,,,,,,,,,,,z,1,1.2728,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,27,27,112,1,MYING,HB,old,z,./images/MYINGHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.2737,1,,,,,,,,,,,,,,m,1,1.2737,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,28,28,35,1,LLAMA,C,old,m,./images/LLAMA.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6403,1,,,,,,,,,,,,,,m,1,0.6403,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,29,29,68,1,VALLEY,C,old,m,./images/VALLEY.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6024,1,,,,,,,,,,,,,,z,1,0.6024,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,30,30,111,1,HOSSE,C,old,z,./images/HOSSE.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.626,1,,,,,,,,,,,,,,m,1,0.626,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,31,31,82,1,PEBBLE,LB,old,m,./images/PEBBLELB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.3844,1,,,,,,,,,,,,,,m,1,1.3844,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,32,32,36,1,BOILER,HB,old,m,./images/BOILERHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.0499,1,,,,,,,,,,,,,,z,1,1.0499,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,33,33,88,1,GLUSH,HB,old,z,./images/GLUSHHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.0644,1,,,,,,,,,,,,,,z,1,1.0644,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,34,34,85,1,CHULK,HB,old,z,./images/CHULKHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.5917,1,,,,,,,,,,,,,,m,1,0.5917,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,35,35,28,1,CASINO,LB,old,m,./images/CASINOLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.9022,1,,,,,,,,,,,,,,z,1,0.9022,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,36,36,93,1,SMONE,C,old,z,./images/SMONE.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.6625,1,,,,,,,,,,,,,,z,1,1.6625,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,37,37,110,1,CRUNK,LB,old,z,./images/CRUNKLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,4.1477,1,,,,,,,,,,,,,,z,1,4.1477,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,38,38,102,1,DULLE,C,old,z,./images/DULLE.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6962,1,,,,,,,,,,,,,,z,1,0.6962,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,39,39,125,1,MOOKY,LB,old,z,./images/MOOKYLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198967,18,2022-01-28_19h31.46.631,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6696,0,,,,,,,,,,,,,,z,0,0.6696,,,,,,,,-0.079765625,-0.381449653,0,0,0,,0,40,40,60,1,CURRY,HB,old,m,./images/CURRYHB.png,,,,,,,,,,,,,,,,,,,,,,,
