key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,z,1,0.8494,,,,,,,,0.8494,1,0,6,6,13,1,1001,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,z,1,0.6498,,,,,,,,0.6498,1,0,7,7,11,1,1001,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,z,1,0.6666,,,,,,,,0.6666,1,0,8,8,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,m,1,0.5991,,,,,,,,0.5991,1,0,9,9,3,1,1001,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,m,1,0.6495,,,,,,,,0.6495,1,0,10,10,1,1,1001,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,m,1,0.817,,,,,,,,0.817,1,0,11,11,4,1,1001,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,m,1,0.6501,,,,,,,,0.6501,1,0,12,12,2,1,1001,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,m,1,0.7014,,,,,,,,0.7014,1,0,13,13,5,1,1001,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,z,1,0.7498,,,,,,,,0.7498,1,0,14,14,15,1,1001,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,z,1,0.7667,,,,,,,,0.7667,1,0,15,15,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.05,-0.367592593,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.8381,1,,,,,,,,,,,,,,z,1,0.8381,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,0,0,102,1,DULLE,C,old,z,./images/DULLE.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.401,1,,,,,,,,,,,,,,m,1,1.401,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,1,1,58,1,CANOE,LB,old,m,./images/CANOELB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.1166,1,,,,,,,,,,,,,,m,1,1.1166,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,2,2,70,1,BANANA,LB,old,m,./images/BANANALB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.4998,1,,,,,,,,,,,,,,m,1,1.4998,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,3,3,56,1,HEATER,C,old,m,./images/HEATER.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.7845,1,,,,,,,,,,,,,,z,1,0.7845,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,4,4,95,1,HANTY,LB,old,z,./images/HANTYLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.5165,0,,,,,,,,,,,,,,z,0,1.5165,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,5,5,12,1,BLOKE,HB,old,m,./images/BLOKEHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.0664,1,,,,,,,,,,,,,,z,1,1.0664,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,6,6,167,1,ZONET,LB,old,z,./images/ZONETLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.6172,1,,,,,,,,,,,,,,z,1,1.6172,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,7,7,145,1,LAMEL,HB,old,z,./images/LAMELHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.3152,1,,,,,,,,,,,,,,z,1,1.3152,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,8,8,142,1,PLASK,HB,old,z,./images/PLASKHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.0834,1,,,,,,,,,,,,,,m,1,1.0834,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,9,9,2,1,STOVE,C,old,m,./images/STOVE.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.6504,1,,,,,,,,,,,,,,m,1,1.6504,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,10,10,3,1,CRATER,HB,old,m,./images/CRATERHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.7179,1,,,,,,,,,,,,,,z,1,0.7179,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,11,11,117,1,STEEG,C,old,z,./images/STEEG.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,2.2496,0,,,,,,,,,,,,,,z,0,2.2496,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,12,12,20,1,GRANNY,C,old,m,./images/GRANNY.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.6504,1,,,,,,,,,,,,,,m,1,0.6504,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,13,13,29,1,PISTOL,C,old,m,./images/PISTOL.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.0173,1,,,,,,,,,,,,,,z,1,1.0173,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,14,14,153,1,CLUPS,C,old,z,./images/CLUPS.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.7,1,,,,,,,,,,,,,,m,1,0.7,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,15,15,75,1,HAMMER,HB,old,m,./images/HAMMERHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.7834,1,,,,,,,,,,,,,,z,1,0.7834,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,16,16,129,1,PRANS,C,old,z,./images/PRANS.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.8998,1,,,,,,,,,,,,,,z,1,0.8998,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,17,17,113,1,LINEW,LB,old,z,./images/LINEWLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,2.1998,1,,,,,,,,,,,,,,z,1,2.1998,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,18,18,112,1,MYING,HB,old,z,./images/MYINGHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.899,1,,,,,,,,,,,,,,m,1,0.899,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,19,19,63,1,BAKER,HB,old,m,./images/BAKERHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.6659,1,,,,,,,,,,,,,,m,1,1.6659,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,20,20,52,1,DESERT,LB,old,m,./images/DESERTLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.3011,1,,,,,,,,,,,,,,z,1,1.3011,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,21,21,99,1,BACKY,C,old,z,./images/BACKY.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.2669,1,,,,,,,,,,,,,,m,1,1.2669,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,22,22,34,1,RAZOR,LB,old,m,./images/RAZORLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.6163,1,,,,,,,,,,,,,,m,1,0.6163,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,23,23,13,1,BUNNY,LB,old,m,./images/BUNNYLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.8337,1,,,,,,,,,,,,,,m,1,0.8337,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,24,24,57,1,FERRY,HB,old,m,./images/FERRYHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.7831,1,,,,,,,,,,,,,,z,1,0.7831,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,25,25,123,1,SEDGE,C,old,z,./images/SEDGE.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.0497,1,,,,,,,,,,,,,,z,1,1.0497,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,26,26,124,1,TUNCH,HB,old,z,./images/TUNCHHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.1171,1,,,,,,,,,,,,,,m,1,1.1171,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,27,27,73,1,GLOVE,LB,old,m,./images/GLOVELB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.2331,1,,,,,,,,,,,,,,m,1,1.2331,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,28,28,69,1,ARROW,HB,old,m,./images/ARROWHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.9996,1,,,,,,,,,,,,,,m,1,0.9996,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,29,29,72,1,FLASK,HB,old,m,./images/FLASKHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.4006,1,,,,,,,,,,,,,,z,1,1.4006,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,30,30,127,1,NINDY,HB,old,z,./images/NINDYHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.8162,1,,,,,,,,,,,,,,m,1,0.8162,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,31,31,19,1,DONKEY,LB,old,m,./images/DONKEYLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.3656,1,,,,,,,,,,,,,,m,1,1.3656,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,32,32,50,1,PILOT,C,old,m,./images/PILOT.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.649,1,,,,,,,,,,,,,,m,1,0.649,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,33,33,28,1,CASINO,LB,old,m,./images/CASINOLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.6327,1,,,,,,,,,,,,,,z,1,1.6327,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,34,34,109,1,BURGE,HB,old,z,./images/BURGEHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.8324,1,,,,,,,,,,,,,,m,1,0.8324,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,35,35,77,1,WHEEL,C,old,m,./images/WHEEL.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.5323,1,,,,,,,,,,,,,,z,1,1.5323,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,36,36,160,1,VEETS,HB,old,z,./images/VEETSHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.5994,1,,,,,,,,,,,,,,m,1,0.5994,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,37,37,68,1,VALLEY,C,old,m,./images/VALLEY.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,2.1333,1,,,,,,,,,,,,,,z,1,2.1333,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,38,38,130,1,CRILL,HB,old,z,./images/CRILLHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,2.1995,0,,,,,,,,,,,,,,m,0,2.1995,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,39,39,143,1,MONGS,LB,old,z,./images/MONGSLB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,1.2838,1,,,,,,,,,,,,,,m,1,1.2838,,,,,,,,-0.371296296,-0.289814815,0,0,0,,0,40,40,39,1,CANDY,HB,old,m,./images/CANDYHB.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200479,19,2022-01-28_17h55.40.018,lexical_decision_task_DD_L5,2021.2.3,Win32,143.2254368,,,,,,,,,,,0.8173,1,,,,,,,,,,,,,,m,1,0.8173,,,,,,,,-0.113888889,-0.377777778,1,0,0,,0,41,41,78,1,BROOM,HB,old,m,./images/BROOMHB.png,break_done_button,,,,,,,,,,,,,,,,,,,,,,
