key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,z,1,0.859,,,,,,,,0.859,1,0,6,6,9,1,1001,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,z,1,1.078,,,,,,,,1.078,1,0,7,7,8,1,1001,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,m,1,0.643,,,,,,,,0.643,1,0,8,8,1,1,1001,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,z,1,0.799,,,,,,,,0.799,1,0,9,9,15,1,1001,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,m,1,0.679,,,,,,,,0.679,1,0,10,10,3,1,1001,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,m,1,0.625,,,,,,,,0.625,1,0,11,11,6,1,1001,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,z,1,0.82,,,,,,,,0.82,1,0,12,12,13,1,1001,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,m,1,0.732,,,,,,,,0.732,1,0,13,13,0,1,1001,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,z,1,0.791,,,,,,,,0.791,1,0,14,14,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,z,1,0.993,,,,,,,,0.993,1,0,15,15,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.021111111,-0.368888889,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,1.312,1,,,,,,,,,,,,,,m,1,1.312,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,0,0,11,1,BONNET,C,old,m,./images/BONNET.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,1.263,1,,,,,,,,,,,,,,z,1,1.263,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,1,1,91,1,SHENS,HB,old,z,./images/SHENSHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,1.132,1,,,,,,,,,,,,,,m,1,1.132,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,2,2,12,1,SHORE,HB,old,m,./images/SHOREHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,1.479,1,,,,,,,,,,,,,,z,1,1.479,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,3,3,138,1,PLICE,C,old,z,./images/PLICE.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.713,1,,,,,,,,,,,,,,m,1,0.713,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,4,4,39,1,SHELF,HB,old,m,./images/SHELFHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.565,1,,,,,,,,,,,,,,m,1,0.565,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,5,5,83,1,JUNGLE,C,old,m,./images/JUNGLE.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.715,1,,,,,,,,,,,,,,m,1,0.715,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,6,6,51,1,ONION,HB,old,m,./images/ONIONHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.848,1,,,,,,,,,,,,,,z,1,0.848,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,7,7,135,1,JOODY,C,old,z,./images/JOODY.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.729,1,,,,,,,,,,,,,,z,1,0.729,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,8,8,122,1,BLOOT,LB,old,z,./images/BLOOTLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.514,1,,,,,,,,,,,,,,m,1,0.514,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,9,9,4,1,MUSCLE,LB,old,m,./images/MUSCLELB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.812,1,,,,,,,,,,,,,,z,1,0.812,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,10,10,95,1,HANTY,LB,old,z,./images/HANTYLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.614,1,,,,,,,,,,,,,,m,1,0.614,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,11,11,59,1,BURIAL,C,old,m,./images/BURIAL.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.715,1,,,,,,,,,,,,,,z,1,0.715,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,12,12,128,1,GRIFT,LB,old,z,./images/GRIFTLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.63,1,,,,,,,,,,,,,,m,1,0.63,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,13,13,3,1,FINGER,HB,old,m,./images/FINGERHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,1.193,1,,,,,,,,,,,,,,z,1,1.193,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,14,14,158,1,EGECT,LB,old,z,./images/EGECTLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.713,1,,,,,,,,,,,,,,m,1,0.713,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,15,15,58,1,BABOON,LB,old,m,./images/BABOONLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.696,1,,,,,,,,,,,,,,m,1,0.696,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,16,16,1,1,PLANK,LB,old,m,./images/PLANKLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.68,1,,,,,,,,,,,,,,m,1,0.68,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,17,17,46,1,PEARL,LB,old,m,./images/PEARLLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.714,1,,,,,,,,,,,,,,z,1,0.714,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,18,18,161,1,BLAPS,LB,old,z,./images/BLAPSLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.98,1,,,,,,,,,,,,,,m,1,0.98,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,19,19,17,1,SKIING,C,old,m,./images/SKIING.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.713,1,,,,,,,,,,,,,,z,1,0.713,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,20,20,126,1,GUELS,C,old,z,./images/GUELS.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.483,1,,,,,,,,,,,,,,m,1,0.483,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,21,21,82,1,SUNSET,LB,old,m,./images/SUNSETLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.618,1,,,,,,,,,,,,,,m,1,0.618,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,22,22,71,1,PIMPLE,C,old,m,./images/PIMPLE.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.529,1,,,,,,,,,,,,,,m,1,0.529,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,23,23,24,1,SCREW,HB,old,m,./images/SCREWHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.564,1,,,,,,,,,,,,,,m,1,0.564,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,24,24,79,1,CRUST,LB,old,m,./images/CRUSTLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.512,1,,,,,,,,,,,,,,m,1,0.512,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,25,25,48,1,SPORT,HB,old,m,./images/SPORTHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.512,1,,,,,,,,,,,,,,m,1,0.512,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,26,26,6,1,SQUARE,HB,old,m,./images/SQUAREHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,1.829,0,,,,,,,,,,,,,,m,0,1.829,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,27,27,130,1,CRILL,HB,old,z,./images/CRILLHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.514,1,,,,,,,,,,,,,,m,1,0.514,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,28,28,52,1,BANNER,LB,old,m,./images/BANNERLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.635,1,,,,,,,,,,,,,,m,1,0.635,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,29,29,7,1,PAINT,LB,old,m,./images/PAINTLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.778,1,,,,,,,,,,,,,,z,1,0.778,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,30,30,102,1,DULLE,C,old,z,./images/DULLE.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.596,0,,,,,,,,,,,,,,m,0,0.596,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,31,31,166,1,SHORY,HB,old,z,./images/SHORYHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.63,1,,,,,,,,,,,,,,m,1,0.63,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,32,32,76,1,INFANT,LB,old,m,./images/INFANTLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,1.03,1,,,,,,,,,,,,,,z,1,1.03,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,33,33,142,1,PLASK,HB,old,z,./images/PLASKHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.697,1,,,,,,,,,,,,,,m,1,0.697,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,34,34,81,1,POODLE,HB,old,m,./images/POODLEHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.447,1,,,,,,,,,,,,,,m,1,0.447,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,35,35,53,1,CARPET,C,old,m,./images/CARPET.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.899,1,,,,,,,,,,,,,,z,1,0.899,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,36,36,106,1,CLUMS,HB,old,z,./images/CLUMSHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.746,1,,,,,,,,,,,,,,z,1,0.746,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,37,37,120,1,RINED,C,old,z,./images/RINED.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.516,1,,,,,,,,,,,,,,m,1,0.516,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,38,38,73,1,SNACK,LB,old,m,./images/SNACKLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.6,1,,,,,,,,,,,,,,z,1,0.6,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,39,39,149,1,VEASE,LB,old,z,./images/VEASELB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,0.531,1,,,,,,,,,,,,,,m,1,0.531,,,,,,,,0.025555556,-0.168888889,0,0,0,,0,40,40,10,1,BELLY,LB,old,m,./images/BELLYLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198781,18,2022-01-29_13h34.55.712,lexical_decision_task_DD_L2,2021.2.3,MacIntel,111.1111111,,,,,,,,,,,1.152,1,,,,,,,,,,,,,,z,1,1.152,,,,,,,,0.017777778,-0.417777778,1,0,0,,0,41,41,136,1,WERVE,HB,old,z,./images/WERVEHB.png,break_done_button,,,,,,,,,,,,,,,,,,,,,
