key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,0.059340278,-0.37843316,1,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,instr_done_button,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,6.0492,1,,,,,,,,,,,,,,,z,1,6.0492,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,0,0,112,1,MYING,HB,old,z,./images/MYINGHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.8357,1,,,,,,,,,,,,,,,m,1,0.8357,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,1,1,80,1,WEASEL,C,old,m,./images/WEASEL.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7886,1,,,,,,,,,,,,,,,m,1,0.7886,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,2,2,57,1,MOOSE,HB,old,m,./images/MOOSEHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6493,1,,,,,,,,,,,,,,,m,1,0.6493,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,3,3,20,1,CRADLE,C,old,m,./images/CRADLE.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6456,1,,,,,,,,,,,,,,,m,1,0.6456,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,4,4,70,1,URINE,LB,old,m,./images/URINELB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7207,1,,,,,,,,,,,,,,,z,1,0.7207,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,5,5,84,1,HAXES,C,old,z,./images/HAXES.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6643,1,,,,,,,,,,,,,,,m,1,0.6643,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,6,6,78,1,LITTER,HB,old,m,./images/LITTERHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6304,1,,,,,,,,,,,,,,,m,1,0.6304,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,7,7,27,1,ATTIC,HB,old,m,./images/ATTICHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.8307,1,,,,,,,,,,,,,,,z,1,0.8307,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,8,8,124,1,TUNCH,HB,old,z,./images/TUNCHHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7141,1,,,,,,,,,,,,,,,z,1,0.7141,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,9,9,137,1,JOOST,LB,old,z,./images/JOOSTLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6682,1,,,,,,,,,,,,,,,m,1,0.6682,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,10,10,23,1,WALRUS,C,old,m,./images/WALRUS.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6383,1,,,,,,,,,,,,,,,m,1,0.6383,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,11,11,83,1,JUNGLE,C,old,m,./images/JUNGLE.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.3148,1,,,,,,,,,,,,,,,z,1,1.3148,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,12,12,115,1,MAWNS,HB,old,z,./images/MAWNSHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7481,1,,,,,,,,,,,,,,,z,1,0.7481,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,13,13,89,1,DRIEK,LB,old,z,./images/DRIEKLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7435,1,,,,,,,,,,,,,,,z,1,0.7435,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,14,14,144,1,NAIRY,C,old,z,./images/NAIRY.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.582,1,,,,,,,,,,,,,,,m,1,0.582,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,15,15,45,1,KITTEN,HB,old,m,./images/KITTENHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6169,1,,,,,,,,,,,,,,,m,1,0.6169,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,16,16,1,1,PLANK,LB,old,m,./images/PLANKLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.5592,1,,,,,,,,,,,,,,,m,1,0.5592,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,17,17,49,1,DRUMS,LB,old,m,./images/DRUMSLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6472,1,,,,,,,,,,,,,,,z,1,0.6472,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,18,18,98,1,BAMPS,LB,old,z,./images/BAMPSLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6308,1,,,,,,,,,,,,,,,m,1,0.6308,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,19,19,7,1,PAINT,LB,old,m,./images/PAINTLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6299,1,,,,,,,,,,,,,,,m,1,0.6299,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,20,20,40,1,SWING,LB,old,m,./images/SWINGLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6133,1,,,,,,,,,,,,,,,m,1,0.6133,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,21,21,22,1,MELON,LB,old,m,./images/MELONLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.9302,1,,,,,,,,,,,,,,,z,1,1.9302,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,22,22,139,1,BLEAR,HB,old,z,./images/BLEARHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.8915,1,,,,,,,,,,,,,,,z,1,0.8915,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,23,23,159,1,CUDDY,C,old,z,./images/CUDDY.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7471,1,,,,,,,,,,,,,,,m,1,0.7471,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,24,24,48,1,SPORT,HB,old,m,./images/SPORTHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.5125,1,,,,,,,,,,,,,,,z,1,1.5125,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,25,25,155,1,CANGY,LB,old,z,./images/CANGYLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.2193,1,,,,,,,,,,,,,,,z,1,1.2193,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,26,26,163,1,GAMBA,HB,old,z,./images/GAMBAHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6214,1,,,,,,,,,,,,,,,z,1,0.6214,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,27,27,153,1,CLUPS,C,old,z,./images/CLUPS.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6324,1,,,,,,,,,,,,,,,m,1,0.6324,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,28,28,3,1,FINGER,HB,old,m,./images/FINGERHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6815,1,,,,,,,,,,,,,,,m,1,0.6815,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,29,29,82,1,SUNSET,LB,old,m,./images/SUNSETLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.5502,1,,,,,,,,,,,,,,,z,1,0.5502,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,30,30,131,1,NACES,LB,old,z,./images/NACESLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.873,1,,,,,,,,,,,,,,,z,1,0.873,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,31,31,85,1,CHULK,HB,old,z,./images/CHULKHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6397,1,,,,,,,,,,,,,,,m,1,0.6397,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,32,32,77,1,COUCH,C,old,m,./images/COUCH.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7311,1,,,,,,,,,,,,,,,z,1,0.7311,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,33,33,122,1,BLOOT,LB,old,z,./images/BLOOTLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.4758,1,,,,,,,,,,,,,,,m,1,0.4758,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,34,34,14,1,PICKLE,C,old,m,./images/PICKLE.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6148,1,,,,,,,,,,,,,,,m,1,0.6148,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,35,35,15,1,GREASE,HB,old,m,./images/GREASEHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7158,1,,,,,,,,,,,,,,,z,1,0.7158,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,36,36,119,1,PAFER,LB,old,z,./images/PAFERLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.5822,1,,,,,,,,,,,,,,,m,1,0.5822,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,37,37,4,1,MUSCLE,LB,old,m,./images/MUSCLELB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.5599,1,,,,,,,,,,,,,,,z,1,0.5599,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,38,38,117,1,STEEG,C,old,z,./images/STEEG.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.5188,1,,,,,,,,,,,,,,,m,1,0.5188,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,39,39,75,1,GRAIN,HB,old,m,./images/GRAINHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7315,1,,,,,,,,,,,,,,,m,1,0.7315,,,,,,,,0.059340278,-0.37843316,0,0,0,,0,40,40,10,1,BELLY,LB,old,m,./images/BELLYLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198706,,2022-01-28_16h03.40.734,lexical_decision_task_DD_L2,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.8482,1,,,,,,,,,,,,,,,z,1,0.8482,,,,,,,,-0.002083333,-0.360416667,0,0,0,space,0,41,41,154,1,THINT,HB,old,z,./images/THINTHB.png,6.9521,,,,,,,,,,,,,,,,,,,,,
