key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,z,1,0.8243,,,,,,,,0.8243,1,0,13,13,8,1,1001,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,z,1,0.8144,,,,,,,,0.8144,1,0,14,14,13,1,1001,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,z,1,0.7532,,,,,,,,0.7532,1,0,15,15,9,1,1001,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.131835938,-0.426757813,1,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,instr_done_button,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,2.8398,0,,,,,,,,,,,,,,m,0,2.8398,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,0,0,91,1,SHENS,HB,old,z,./images/SHENSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.8274,1,,,,,,,,,,,,,,m,1,0.8274,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,1,1,49,1,BISHOP,LB,old,m,./images/BISHOPLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.5427,1,,,,,,,,,,,,,,m,1,0.5427,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,2,2,22,1,CLOWN,LB,old,m,./images/CLOWNLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,1.3702,1,,,,,,,,,,,,,,z,1,1.3702,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,3,3,128,1,GRIFT,LB,old,z,./images/GRIFTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.7796,1,,,,,,,,,,,,,,z,1,0.7796,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,4,4,150,1,NOOLS,C,old,z,./images/NOOLS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.5924,1,,,,,,,,,,,,,,m,1,0.5924,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,5,5,55,1,ALLEY,LB,old,m,./images/ALLEYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6934,1,,,,,,,,,,,,,,z,1,0.6934,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,6,6,153,1,CLUPS,C,old,z,./images/CLUPS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,1.2756,1,,,,,,,,,,,,,,z,1,1.2756,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,7,7,94,1,BLANS,HB,old,z,./images/BLANSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.7772,1,,,,,,,,,,,,,,m,1,0.7772,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,8,8,63,1,BAKER,HB,old,m,./images/BAKERHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.7831,0,,,,,,,,,,,,,,m,0,0.7831,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,9,9,85,1,CHULK,HB,old,z,./images/CHULKHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.7976,1,,,,,,,,,,,,,,z,1,0.7976,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,10,10,146,1,MOOST,LB,old,z,./images/MOOSTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,1.1253,1,,,,,,,,,,,,,,z,1,1.1253,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,11,11,141,1,PLEET,C,old,z,./images/PLEET.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.5905,1,,,,,,,,,,,,,,m,1,0.5905,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,12,12,50,1,PILOT,C,old,m,./images/PILOT.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.7756,1,,,,,,,,,,,,,,z,1,0.7756,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,13,13,165,1,TROWN,C,old,z,./images/TROWN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6649,1,,,,,,,,,,,,,,m,1,0.6649,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,14,14,43,1,STOOL,LB,old,m,./images/STOOLLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6355,1,,,,,,,,,,,,,,z,1,0.6355,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,15,15,107,1,FASKS,LB,old,z,./images/FASKSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6647,1,,,,,,,,,,,,,,z,1,0.6647,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,16,16,143,1,MONGS,LB,old,z,./images/MONGSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,3.0826,1,,,,,,,,,,,,,,m,1,3.0826,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,17,17,79,1,RULER,LB,old,m,./images/RULERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6932,1,,,,,,,,,,,,,,m,1,0.6932,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,18,18,46,1,MUMMY,LB,old,m,./images/MUMMYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,2.0467,1,,,,,,,,,,,,,,z,1,2.0467,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,19,19,136,1,WERVE,HB,old,z,./images/WERVEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6402,1,,,,,,,,,,,,,,z,1,0.6402,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,20,20,84,1,HAXES,C,old,z,./images/HAXES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6605,1,,,,,,,,,,,,,,z,1,0.6605,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,21,21,86,1,AIFED,LB,old,z,./images/AIFEDLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.9635,1,,,,,,,,,,,,,,m,1,0.9635,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,22,22,48,1,SHIELD,HB,old,m,./images/SHIELDHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.5908,1,,,,,,,,,,,,,,m,1,0.5908,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,23,23,35,1,LLAMA,C,old,m,./images/LLAMA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6061,1,,,,,,,,,,,,,,m,1,0.6061,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,24,24,5,1,BAMBOO,C,old,m,./images/BAMBOO.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.707,1,,,,,,,,,,,,,,z,1,0.707,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,25,25,120,1,RINED,C,old,z,./images/RINED.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,1.9284,1,,,,,,,,,,,,,,z,1,1.9284,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,26,26,166,1,SHORY,HB,old,z,./images/SHORYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,1.5036,1,,,,,,,,,,,,,,m,1,1.5036,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,27,27,75,1,HAMMER,HB,old,m,./images/HAMMERHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6831,1,,,,,,,,,,,,,,m,1,0.6831,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,28,28,69,1,ARROW,HB,old,m,./images/ARROWHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.6089,1,,,,,,,,,,,,,,m,1,0.6089,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,29,29,45,1,MONKEY,HB,old,m,./images/MONKEYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.7486,1,,,,,,,,,,,,,,m,1,0.7486,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,30,30,53,1,POSTER,C,old,m,./images/POSTER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.9762,1,,,,,,,,,,,,,,z,1,0.9762,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,31,31,160,1,VEETS,HB,old,z,./images/VEETSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fccbcc1254e074f17d5565,27,2022-02-12_15h54.46.488,lexical_decision_task_DD_L5,2021.2.3,Win32,60.06366749,,,,,,,,,,,,0.7528,1,,,,,,,,,,,,,,z,1,0.7528,,,,,,,,0.131835938,-0.426757813,0,0,0,,0,32,32,98,1,BAMPS,LB,old,z,./images/BAMPSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
