key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,instr_done_touch.clicked_name,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,z,1,0.7439,,,,,,,,0.7439,1,0,6,6,13,1,1001,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,z,1,0.6973,,,,,,,,0.6973,1,0,7,7,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,z,1,0.7481,,,,,,,,0.7481,1,0,8,8,8,1,1001,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,m,1,0.6924,,,,,,,,0.6924,1,0,9,9,0,1,1001,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,m,1,0.7217,,,,,,,,0.7217,1,0,10,10,1,1,1001,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,m,0,0.8811,,,,,,,,0.8811,0,0,11,11,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,m,1,1.1148,,,,,,,,1.1148,1,0,12,12,2,1,1001,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,z,1,0.7509,,,,,,,,0.7509,1,0,13,13,11,1,1001,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,m,1,0.7988,,,,,,,,0.7988,1,0,14,14,5,1,1001,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,m,1,0.5769,,,,,,,,0.5769,1,0,15,15,6,1,1001,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,12.957,0.5859375,-0.177083333,0,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,2.3979,1,,,,,,,,,,,,,,m,1,2.3979,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,0,0,26,1,SMOKER,HB,old,m,./images/SMOKERHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.986,1,,,,,,,,,,,,,,z,1,0.986,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,1,1,137,1,JOOST,LB,old,z,./images/JOOSTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.8221,1,,,,,,,,,,,,,,z,1,0.8221,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,2,2,119,1,PAFER,LB,old,z,./images/PAFERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.6715,1,,,,,,,,,,,,,,m,1,0.6715,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,3,3,9,1,RHINO,LB,old,m,./images/RHINOLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.6122,1,,,,,,,,,,,,,,m,1,0.6122,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,4,4,5,1,PASTA,HB,old,m,./images/PASTAHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.9748,1,,,,,,,,,,,,,,z,1,0.9748,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,5,5,109,1,BURGE,HB,old,z,./images/BURGEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,1.1619,1,,,,,,,,,,,,,,z,1,1.1619,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,6,6,99,1,BACKY,C,old,z,./images/BACKY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.9794,0,,,,,,,,,,,,,,m,0,0.9794,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,7,7,140,1,DOVET,LB,old,z,./images/DOVETLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.6562,1,,,,,,,,,,,,,,m,1,0.6562,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,8,8,55,1,MUFFIN,C,old,m,./images/MUFFIN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.4425,1,,,,,,,,,,,,,,m,1,0.4425,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,9,9,49,1,DRUMS,C,old,m,./images/DRUMS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.5652,1,,,,,,,,,,,,,,m,1,0.5652,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,10,10,69,1,COOKER,LB,old,m,./images/COOKERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,1.166,1,,,,,,,,,,,,,,m,1,1.166,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,11,11,74,1,CEMENT,HB,old,m,./images/CEMENTHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.5286,1,,,,,,,,,,,,,,m,1,0.5286,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,12,12,46,1,PEARL,C,old,m,./images/PEARL.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.6096,1,,,,,,,,,,,,,,m,1,0.6096,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,13,13,62,1,PURSE,HB,old,m,./images/PURSEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.6996,1,,,,,,,,,,,,,,z,1,0.6996,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,14,14,105,1,MOKER,C,old,z,./images/MOKER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.8796,0,,,,,,,,,,,,,,m,0,0.8796,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,15,15,114,1,RIKES,C,old,z,./images/RIKES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,1.4125,1,,,,,,,,,,,,,,z,1,1.4125,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,16,16,122,1,BLOOT,LB,old,z,./images/BLOOTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.7298,1,,,,,,,,,,,,,,m,1,0.7298,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,17,17,76,1,INFANT,C,old,m,./images/INFANT.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.7099,1,,,,,,,,,,,,,,z,1,0.7099,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,18,18,135,1,JOODY,C,old,z,./images/JOODY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,1.231,1,,,,,,,,,,,,,,m,1,1.231,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,19,19,54,1,TRIPOD,LB,old,m,./images/TRIPODLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.8073,1,,,,,,,,,,,,,,m,1,0.8073,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,20,20,77,1,COUCH,HB,old,m,./images/COUCHHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.7959,1,,,,,,,,,,,,,,m,1,0.7959,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,21,21,18,1,JAGUAR,LB,old,m,./images/JAGUARLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,1.3576,1,,,,,,,,,,,,,,z,1,1.3576,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,22,22,98,1,BAMPS,LB,old,z,./images/BAMPSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.7446,1,,,,,,,,,,,,,,m,1,0.7446,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,23,23,7,1,PAINT,C,old,m,./images/PAINT.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,1.1216,1,,,,,,,,,,,,,,m,1,1.1216,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,24,24,59,1,BURIAL,HB,old,m,./images/BURIALHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.7001,1,,,,,,,,,,,,,,m,1,0.7001,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,25,25,53,1,CARPET,HB,old,m,./images/CARPETHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,1.4395,1,,,,,,,,,,,,,,m,1,1.4395,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,26,26,83,1,JUNGLE,HB,old,m,./images/JUNGLEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.6018,1,,,,,,,,,,,,,,m,1,0.6018,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,27,27,70,1,URINE,C,old,m,./images/URINE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.9795,1,,,,,,,,,,,,,,z,1,0.9795,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,28,28,115,1,MAWNS,HB,old,z,./images/MAWNSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.6089,1,,,,,,,,,,,,,,m,1,0.6089,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,29,29,6,1,SQUARE,LB,old,m,./images/SQUARELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.7445,1,,,,,,,,,,,,,,z,1,0.7445,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,30,30,148,1,JOMS,HB,old,z,./images/JOMSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.6883,1,,,,,,,,,,,,,,z,1,0.6883,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,31,31,113,1,LINEW,LB,old,z,./images/LINEWLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5ddb44664a113aaa06465dbe,42,2022-02-12_17h18.38.048,lexical_decision_task_DD_L3,2021.2.3,Win32,60.51437216,,,,,,,,,,,0.5448,1,,,,,,,,,,,,,,m,1,0.5448,,,,,,,,0.5859375,-0.177083333,0,0,0,,0,32,32,36,1,THROAT,LB,old,m,./images/THROATLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
