key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,m,1,1.0001,,,,,,,,1.0001,1,0,6,6,2,1,1001,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,z,1,0.7859,,,,,,,,0.7859,1,0,7,7,11,1,1001,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,z,1,0.8493,,,,,,,,0.8493,1,0,8,8,12,1,1001,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,m,1,0.721,,,,,,,,0.721,1,0,9,9,6,1,1001,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,z,1,0.8633,,,,,,,,0.8633,1,0,10,10,9,1,1001,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,z,1,0.8385,,,,,,,,0.8385,1,0,11,11,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,z,1,0.650200001,,,,,,,,0.650200001,1,0,12,12,13,1,1001,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,z,1,0.592200001,,,,,,,,0.592200001,1,0,13,13,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,z,1,0.6705,,,,,,,,0.6705,1,0,14,14,15,1,1001,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,m,1,0.8946,,,,,,,,0.8946,1,0,15,15,7,1,1001,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.005208333,-0.365885417,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,1.9899,1,,,,,,,,,,,,,,m,1,1.9899,,,,,,,,-0.001302083,-0.044270833,0,0,0,,0,0,0,47,1,BERRY,LB,old,m,./images/BERRYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,2.576599999,1,,,,,,,,,,,,,,m,1,2.576599999,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,1,1,43,1,MOSQUE,HB,old,m,./images/MOSQUEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.6536,1,,,,,,,,,,,,,,m,1,0.6536,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,2,2,68,1,TORCH,LB,old,m,./images/TORCHLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.9315,1,,,,,,,,,,,,,,z,1,0.9315,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,3,3,84,1,HAXES,C,old,z,./images/HAXES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.862,1,,,,,,,,,,,,,,z,1,0.862,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,4,4,89,1,DRIEK,LB,old,z,./images/DRIEKLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.8068,1,,,,,,,,,,,,,,z,1,0.8068,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,5,5,131,1,NACES,LB,old,z,./images/NACESLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.6734,1,,,,,,,,,,,,,,m,1,0.6734,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,6,6,63,1,MIRROR,C,old,m,./images/MIRROR.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.7143,1,,,,,,,,,,,,,,z,1,0.7143,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,7,7,161,1,BLAPS,LB,old,z,./images/BLAPSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.636400001,1,,,,,,,,,,,,,,m,1,0.636400001,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,8,8,75,1,GRAIN,C,old,m,./images/GRAIN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.5675,1,,,,,,,,,,,,,,z,1,0.5675,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,9,9,140,1,DOVET,LB,old,z,./images/DOVETLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,1.5273,1,,,,,,,,,,,,,,m,1,1.5273,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,10,10,50,1,MALLET,LB,old,m,./images/MALLETLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,1.0176,1,,,,,,,,,,,,,,m,1,1.0176,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,11,11,37,1,BIRTH,HB,old,m,./images/BIRTHHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.8387,1,,,,,,,,,,,,,,m,1,0.8387,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,12,12,27,1,ATTIC,C,old,m,./images/ATTIC.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,1.0999,1,,,,,,,,,,,,,,z,1,1.0999,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,13,13,154,1,THINT,HB,old,z,./images/THINTHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.9624,1,,,,,,,,,,,,,,m,1,0.9624,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,14,14,40,1,SWING,HB,old,m,./images/SWINGHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.8386,1,,,,,,,,,,,,,,m,1,0.8386,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,15,15,78,1,LITTER,C,old,m,./images/LITTER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.7133,1,,,,,,,,,,,,,,m,1,0.7133,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,16,16,15,1,GREASE,C,old,m,./images/GREASE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.9777,1,,,,,,,,,,,,,,z,1,0.9777,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,17,17,124,1,TUNCH,HB,old,z,./images/TUNCHHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,1.0555,1,,,,,,,,,,,,,,z,1,1.0555,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,18,18,145,1,LAMEL,HB,old,z,./images/LAMELHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.889099999,1,,,,,,,,,,,,,,m,1,0.889099999,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,19,19,23,1,WALRUS,LB,old,m,./images/WALRUSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.9502,1,,,,,,,,,,,,,,z,1,0.9502,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,20,20,94,1,BLANS,HB,old,z,./images/BLANSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.8457,1,,,,,,,,,,,,,,z,1,0.8457,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,21,21,164,1,SGREW,LB,old,z,./images/SGREWLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,1.183299999,1,,,,,,,,,,,,,,m,1,1.183299999,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,22,22,72,1,NOOSE,C,old,m,./images/NOOSE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,1.5848,1,,,,,,,,,,,,,,m,1,1.5848,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,23,23,74,1,CEMENT,LB,old,m,./images/CEMENTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.755,1,,,,,,,,,,,,,,z,1,0.755,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,24,24,129,1,PRANS,C,old,z,./images/PRANS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.763900001,1,,,,,,,,,,,,,,z,1,0.763900001,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,25,25,127,1,NINDY,HB,old,z,./images/NINDYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,1.082799999,1,,,,,,,,,,,,,,m,1,1.082799999,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,26,26,34,1,CANYON,HB,old,m,./images/CANYONHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.7288,1,,,,,,,,,,,,,,z,1,0.7288,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,27,27,117,1,STEEG,C,old,z,./images/STEEG.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.6519,1,,,,,,,,,,,,,,m,1,0.6519,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,28,28,62,1,PURSE,LB,old,m,./images/PURSELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.9419,1,,,,,,,,,,,,,,m,1,0.9419,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,29,29,61,1,CANDLE,HB,old,m,./images/CANDLEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.811099999,1,,,,,,,,,,,,,,z,1,0.811099999,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,30,30,159,1,CUDDY,C,old,z,./images/CUDDY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.6812,1,,,,,,,,,,,,,,m,1,0.6812,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,31,31,60,1,TWINS,C,old,m,./images/TWINS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.765,1,,,,,,,,,,,,,,m,1,0.765,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,32,32,66,1,SWEAT,C,old,m,./images/SWEAT.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fce736898fa590803b3b0d8,24,2022-02-12_13h26.07.160,lexical_decision_task_DD,2021.2.3,Win32,59.7335882,,,,,,,,,,,0.6985,1,,,,,,,,,,,,,,z,1,0.6985,,,,,,,,-0.283854167,-0.498697917,0,0,0,,0,33,33,125,1,MOOKY,LB,old,z,./images/MOOKYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
